,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
312,0.06913557,-0.13521683,0.06292938,-0.036015183,0.2203005,0.06786573,-0.41861466,0.25558403,-0.012891777,-0.12175896,0.03318569,-0.19390765,0.07194903,0.21757239,0.057081345,0.08621157,0.0046018,-0.10602053,-0.08264548,0.03962999,-0.4348609,0.016820475,-0.032263957,-0.12019916,-0.3596682,0.009872917,0.086212076,0.016461398,0.009082258,0.16163704,0.06278054,-0.11888642,-0.14027163,0.05865898,-0.10915935,-0.027406558,-0.11344803,0.012546241,-0.118090704,-0.08452253,0.07106973,-0.33650923,0.025712471,-0.67261493,-0.050416753,-0.05897015,-0.18548866,0.24783635,-0.19846031,0.3983184
326,-0.0023378506,-0.05541071,0.05180656,-0.020954847,0.026886985,0.01656831,-0.12036663,0.04555905,0.02994652,-0.023782762,-0.0010474327,-0.038288478,-0.014198516,0.043275792,0.023300346,0.0011925045,-0.0075466437,-0.039625145,-0.005257331,0.015585773,-0.09799583,0.033510868,-0.02422478,-0.045380354,-0.06872246,0.03254967,0.003397549,0.003508348,-0.020085312,0.050791338,0.03060969,-0.016701974,-0.035608113,0.008474607,-0.012058616,-0.023149002,-0.03661749,-0.0018486604,-0.03211766,-0.0035194717,-0.01703402,-0.07656611,0.0025701467,-1.378823,-0.0064174123,-0.011803705,-0.076409824,0.012166105,-0.0424031,0.0822254
444,-0.073954426,-0.018815454,0.046558402,-0.0006290078,-0.012204438,0.018733852,0.02937723,-0.02868475,0.049789093,-0.0097664315,-0.016215488,0.024762556,-0.032900143,-0.037126668,-0.0216716,-0.026706738,0.026050262,-0.022856437,-0.014386795,-0.0031539574,0.017768748,0.07633783,0.027969964,0.02675405,0.06773774,0.020012032,-0.057629157,-0.0011565499,-0.059834898,-0.008374902,0.03712537,0.056548916,-0.002450049,-0.0046077734,-0.011520624,-0.02247668,-0.016179226,0.0077595674,-0.022014968,0.037885584,-0.08278105,0.05550039,-0.011279676,-1.5209564,-0.033780135,-0.023835842,-0.026690371,-0.1046409,0.012402784,-0.049015686
272,-0.016421236,-0.009248052,0.039988387,-0.010830641,-0.04326444,-0.02400817,-0.0034151599,-0.047119863,0.05794082,0.012704516,-0.013369039,0.02914432,-0.05763791,-0.03789171,-0.0006361455,-0.032690793,-0.012754553,-0.02943205,0.012897648,-0.0055451617,0.0639492,0.040562317,-0.0059738085,-0.0063477177,0.035814956,0.029480785,-0.021386033,-0.027250279,-0.02049698,0.0034916373,0.030696765,0.040798105,0.019249856,0.00459899,0.022076309,-0.009292846,-0.004544094,-0.0074222535,0.025839437,0.027686814,-0.047003623,0.018167228,-0.019065242,-1.7396758,0.011743061,-0.0067316033,-0.026646331,-0.08301549,0.030048005,-0.06688988
216,-0.06923682,0.077584386,0.021127818,0.014380455,-0.15551114,-0.040310584,0.24384287,-0.19387747,0.115453616,0.04752759,-0.053343296,0.1496673,-0.12166941,-0.1577709,-0.049147625,-0.093818635,-0.02177243,0.0042785704,0.020004943,-0.03345055,0.31588018,0.056434087,0.030503578,0.090118766,0.23947848,0.032541577,-0.090097345,-0.06758104,-0.049122766,-0.08636216,0.036251336,0.17056856,0.09204537,-0.0026327223,0.060488343,0.023299437,0.04696875,0.017131977,0.09381378,0.087047085,-0.13843344,0.24588653,-0.03233804,-2.0545187,0.019249052,0.007868748,0.061069727,-0.2715799,0.14832526,-0.32468084
318,0.005026214,-0.03478836,0.04920186,-0.02979201,-0.034399524,-0.031766154,-0.062497076,-0.03094083,0.05244328,0.016324366,-0.007883251,0.018503137,-0.062222455,-0.025392883,0.014578156,-0.01292594,-0.014732349,-0.053750828,0.026882648,-0.010209285,0.041192204,0.030446481,-0.018069722,-0.03215751,-0.00916858,0.031046096,0.00083612883,-0.029405136,0.0052466393,0.030545268,0.026822127,0.009166606,0.016779155,0.0044854297,0.026877433,-0.02060699,-0.0028825402,-0.021218888,0.030698102,0.016685126,-0.02781773,-0.045648597,-0.02684291,-1.9240044,0.024287231,-0.013618935,-0.048119485,-0.049778104,0.018146627,-0.030566745
276,0.3375355,-0.25233406,0.10639958,-0.08351162,0.33001062,0.009991966,-0.96441984,0.45991302,-0.046910167,-0.1500138,0.100953825,-0.35332623,0.09733163,0.42710465,0.21380755,0.1673714,-0.08855893,-0.22226742,-0.06280494,0.060379304,-0.7986187,-0.085984655,-0.1604181,-0.41144335,-0.8507002,-0.017845195,0.27561378,0.012603667,0.21613942,0.4000504,0.04112831,-0.3641784,-0.18594067,0.13877414,-0.101965964,-0.05225668,-0.16876358,-0.02527652,-0.077761486,-0.19101383,0.25744602,-0.79610753,0.10401277,-0.76137936,0.07407964,-0.028084677,-0.37649092,0.62540746,-0.3611243,0.77719295
16,-0.09250455,0.05076861,0.024628358,0.015472233,-0.11854152,-0.024212584,0.20791054,-0.15956537,0.09527643,0.035997428,-0.035134554,0.116861485,-0.094240814,-0.13248414,-0.04943707,-0.08085488,0.0047703823,-0.004046023,0.013329171,-0.023224242,0.24648608,0.06778476,0.043398134,0.08547658,0.21990065,0.028791718,-0.088653065,-0.0507149,-0.061498016,-0.07817204,0.030767888,0.13587573,0.065311864,-0.009174984,0.035088375,0.0025395555,0.021871597,0.00778763,0.05230667,0.070402145,-0.121421665,0.20258576,-0.03822296,-1.9176378,-0.010551389,-0.008068357,0.036967352,-0.2304048,0.10968736,-0.25469252
313,0.22724733,-0.20851487,0.094618976,-0.07080719,0.27375805,0.030349813,-0.7466963,0.37226874,-0.031947814,-0.13422349,0.07685524,-0.27772427,0.085239604,0.35397187,0.1430493,0.13637368,-0.05820518,-0.18560866,-0.0746716,0.051698662,-0.6497365,-0.04449655,-0.106631376,-0.2986205,-0.6527635,-0.013195768,0.19610013,0.013315421,0.14827542,0.30461696,0.053616162,-0.2596623,-0.16416614,0.12012425,-0.08884314,-0.0420395,-0.14039141,-0.006853558,-0.08139731,-0.14424266,0.1771601,-0.61094487,0.07260287,-0.8080292,0.034699284,-0.044590954,-0.31898215,0.4659506,-0.28485018,0.6183569
51,0.18327707,-0.16747904,0.108687684,-0.07786161,0.16144267,-0.0029247329,-0.5655971,0.23773885,-0.032637686,-0.067101456,0.05738971,-0.18531066,0.040415738,0.22400197,0.14994317,0.08873345,-0.060825877,-0.13035136,0.0077679604,0.02666556,-0.43477166,-0.046670035,-0.1076661,-0.27580097,-0.4848178,0.01797311,0.16078831,0.0021098666,0.12987866,0.24038324,0.0054609627,-0.23041272,-0.08387661,0.06820814,-0.03583628,-0.050140493,-0.084440015,-0.03428462,-0.046569854,-0.082382634,0.14120215,-0.46323323,0.04690426,-1.4098322,0.071571074,0.0043695383,-0.22775164,0.32596216,-0.20110324,0.43230656
